Artist Name,Album Name,Song Name,Duration (seconds)
"CANOTO","Lost & Found (Companion Mix)","Lost & Found (Companion Mix)",1304.00
"CANOTO","Somatic Veil","Gloom",178.71
"CANOTO","Somatic Veil","Hyperconscious",185.14
"CANOTO","Somatic Veil","Locus Control",171.43
"CANOTO","Somatic Veil","Safeplace",116.61
"CANOTO","Somatic Veil","Sweet Nightmare",144.00
"CANOTO","Somatic Veil","Veil",246.86
"Carlos David","Carlos David y Orquesta Liberación","Banana",185.00
"Carlos David","Carlos David y Orquesta Liberación","Dame tu querer",227.00
"Carlos David","Carlos David y Orquesta Liberación","Esta cobardía",254.00
"Carlos David","Carlos David y Orquesta Liberación","Eterna melodía",221.00
"Carlos David","Carlos David y Orquesta Liberación","Frente a una copa de vino",226.00
"Carlos David","Carlos David y Orquesta Liberación","Las estrellas brillarán",278.00
"Carlos David","Carlos David y Orquesta Liberación","Maldito amor",271.00
"Carlos David","Carlos David y Orquesta Liberación","Pagará",254.00
"Carlos David","Carlos David y Orquesta Liberación","Tus ojos mexicanos lindos",242.00
"Carlos David","Carlos David y Orquesta Liberación","Yo te amo",268.00
"Carlos David","Esa mujer","A fuego lento",278.16
"Carlos David","Esa mujer","El gusto",276.41
"Carlos David","Esa mujer","Entonces yo me cansaré de ti",202.01
"Carlos David","Esa mujer","Esa mujer",280.69
"Carlos David","Esa mujer","La lagrimita",241.82
"Carlos David","Esa mujer","Lágrimas de amor",253.44
"Carlos David","Esa mujer","Lejos de ti",271.49
"Carlos David","Esa mujer","Solo importas tú",271.10
"Carlos Manuel","El Zafiro: 14 éxitos","Aunque me cueste la vida",163.00
"Carlos Manuel","El Zafiro: 14 éxitos","El cantante del amor",225.00
"Carlos Manuel","El Zafiro: 14 éxitos","Esa mujer a mí me gusta",283.00
"Carlos Manuel","El Zafiro: 14 éxitos","Eso no me gusta",242.00
"Carlos Manuel","El Zafiro: 14 éxitos","Española",277.00
"Carlos Manuel","El Zafiro: 14 éxitos","Himno a la alegría",182.00
